Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalInvolvement,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
18,0,0.0,1.0,15.40875606,0.0,0.0,1.0,0.0,0.0,0.0,0,3.042914833,1.0
15,0,2.0,3.0,4.210569769,26.0,0.0,2.0,0.0,0.0,0.0,0,0.112602254,4.0
17,1,0.0,3.0,10.02882947,14.0,0.0,3.0,1.0,0.0,0.0,0,2.05421814,3.0
17,1,0.0,2.0,4.672495273,17.0,1.0,3.0,0.0,0.0,0.0,0,1.288061182,4.0
18,0,0.0,1.0,8.191218545,0.0,0.0,1.0,1.0,0.0,0.0,0,3.084183614,1.0
15,0,1.0,1.0,15.60168047,10.0,0.0,3.0,0.0,1.0,0.0,0,2.748237415,2.0
15,1,1.0,4.0,15.42449631,22.0,1.0,1.0,1.0,0.0,0.0,0,1.360142712,4.0
17,0,0.0,0.0,4.562007558,1.0,0.0,2.0,0.0,1.0,0.0,1,2.89681919,2.0
16,1,0.0,1.0,18.44446636,0.0,0.0,3.0,1.0,0.0,0.0,0,3.57347421,0.0
17,0,0.0,1.0,11.85136366,11.0,0.0,1.0,0.0,0.0,0.0,0,2.147171625,3.0
17,0,0.0,1.0,7.598485819,15.0,0.0,2.0,0.0,0.0,0.0,1,1.559594519,4.0
17,0,1.0,2.0,12.10142507,21.0,0.0,4.0,0.0,1.0,0.0,0,1.751580958,4.0
18,1,0.0,1.0,11.19781064,9.0,1.0,2.0,0.0,0.0,0.0,0,2.396788117,3.0
15,0,0.0,2.0,9.728100711,17.0,1.0,0.0,0.0,1.0,0.0,0,1.341520717,4.0
18,0,3.0,1.0,10.09865608,14.0,0.0,2.0,1.0,1.0,0.0,0,2.232175278,3.0
18,1,0.0,0.0,3.528238209,16.0,1.0,2.0,0.0,0.0,0.0,0,1.384404176,4.0
18,0,1.0,3.0,16.25465809,29.0,0.0,2.0,1.0,0.0,0.0,1,0.469553323,4.0
17,0,0.0,1.0,10.8352064,9.0,0.0,2.0,0.0,0.0,1.0,0,2.395784095,3.0
16,1,0.0,3.0,2.621597234,2.0,0.0,3.0,0.0,0.0,0.0,1,2.7784113,2.0
15,0,0.0,2.0,15.32314203,25.0,0.0,1.0,1.0,0.0,0.0,0,0.346894037,4.0
16,1,1.0,0.0,18.64887957,29.0,1.0,1.0,0.0,0.0,0.0,0,0.312546231,4.0
18,1,3.0,4.0,18.94613798,20.0,0.0,2.0,1.0,0.0,0.0,0,1.770131877,4.0
18,1,0.0,1.0,7.380354648,15.0,0.0,2.0,0.0,0.0,0.0,0,1.505155622,4.0
16,1,0.0,3.0,2.710337471,5.0,0.0,4.0,0.0,0.0,1.0,0,2.977851918,2.0
16,0,0.0,1.0,10.36799253,2.0,0.0,2.0,0.0,1.0,0.0,0,2.948717672,2.0
16,1,0.0,3.0,2.252184587,8.0,0.0,3.0,0.0,0.0,1.0,0,2.14520472,3.0
18,0,0.0,0.0,18.67974837,10.0,0.0,3.0,1.0,0.0,0.0,0,2.854803929,2.0
18,0,0.0,2.0,3.671592547,20.0,0.0,3.0,1.0,0.0,0.0,0,1.519441726,4.0
15,0,2.0,2.0,5.055317199,12.0,1.0,0.0,0.0,1.0,0.0,0,1.72712031,4.0
15,0,0.0,3.0,8.132730538,17.0,0.0,4.0,0.0,0.0,0.0,1,1.847535471,4.0
18,0,0.0,3.0,7.663289371,25.0,0.0,1.0,0.0,1.0,0.0,0,0.384616973,4.0
16,0,3.0,3.0,15.89325785,21.0,0.0,0.0,1.0,1.0,0.0,0,0.949406098,4.0
16,0,0.0,3.0,9.126336411,27.0,1.0,2.0,1.0,1.0,0.0,0,1.140959418,4.0
15,0,3.0,1.0,3.4153652,23.0,0.0,1.0,0.0,0.0,0.0,0,0.26147226,4.0
18,0,0.0,1.0,5.34419791,26.0,1.0,1.0,0.0,0.0,0.0,0,0.218284857,4.0
15,0,2.0,1.0,10.1822677,21.0,1.0,1.0,0.0,1.0,0.0,0,1.067763551,4.0
15,1,1.0,1.0,2.949078349,3.0,1.0,1.0,1.0,1.0,0.0,0,3.018905858,1.0
17,1,2.0,1.0,12.23311351,21.0,1.0,3.0,1.0,1.0,0.0,0,1.526867832,4.0
17,1,3.0,2.0,11.31494613,23.0,1.0,1.0,0.0,0.0,0.0,0,1.0582874,4.0
17,0,0.0,1.0,14.29404633,7.0,0.0,2.0,0.0,0.0,0.0,0,2.625128098,2.0
16,1,3.0,2.0,18.75409231,12.0,1.0,4.0,0.0,0.0,0.0,0,2.808754822,2.0
18,1,0.0,1.0,18.24509122,9.0,0.0,2.0,0.0,1.0,0.0,0,2.888891669,2.0
18,1,0.0,1.0,18.92151236,1.0,1.0,3.0,1.0,1.0,0.0,0,4.0,0.0
18,0,0.0,2.0,4.89431194,7.0,0.0,4.0,0.0,0.0,1.0,0,2.515300272,2.0
18,0,1.0,2.0,2.631306133,5.0,0.0,1.0,1.0,0.0,0.0,0,2.56376543,2.0
17,0,0.0,2.0,6.04553401,15.0,0.0,2.0,0.0,0.0,0.0,0,1.703611803,4.0
16,0,1.0,2.0,17.90170346,17.0,0.0,3.0,0.0,0.0,1.0,0,2.099885157,3.0
16,1,1.0,1.0,19.44106949,16.0,0.0,4.0,1.0,0.0,0.0,0,2.461046963,3.0
17,1,2.0,2.0,17.18649902,5.0,0.0,3.0,0.0,0.0,0.0,0,2.935477192,2.0
16,1,2.0,0.0,2.200354423,12.0,1.0,1.0,1.0,0.0,1.0,0,1.986378059,4.0
17,1,0.0,1.0,18.94855996,22.0,0.0,4.0,0.0,0.0,1.0,0,1.571544191,4.0
18,0,0.0,2.0,8.467160547,13.0,0.0,1.0,0.0,1.0,0.0,0,1.66431069,4.0
17,0,0.0,0.0,0.186205815,29.0,1.0,2.0,1.0,1.0,0.0,0,0.756259167,4.0
18,0,0.0,1.0,8.847874815,25.0,0.0,2.0,0.0,1.0,0.0,0,0.802769539,4.0
18,1,0.0,4.0,0.921383394,20.0,0.0,2.0,0.0,1.0,1.0,0,1.342387178,4.0
15,0,0.0,4.0,10.87755842,29.0,0.0,3.0,1.0,0.0,0.0,0,0.286571288,4.0
17,0,0.0,1.0,6.771080549,9.0,1.0,3.0,0.0,1.0,0.0,0,2.613838694,2.0
15,1,3.0,0.0,9.468698672,23.0,0.0,3.0,0.0,1.0,0.0,0,0.929012555,4.0
17,1,1.0,1.0,12.26340721,10.0,0.0,0.0,1.0,0.0,1.0,0,1.892758696,4.0
17,0,0.0,1.0,17.37602192,12.0,0.0,2.0,0.0,0.0,1.0,0,2.331261549,3.0
15,0,1.0,3.0,13.23803153,11.0,0.0,3.0,0.0,1.0,0.0,0,2.234238473,3.0
15,0,0.0,1.0,8.68097737,8.0,0.0,2.0,0.0,1.0,0.0,0,2.385828219,3.0
17,0,0.0,2.0,16.38855707,3.0,1.0,4.0,0.0,0.0,0.0,0,3.347356744,1.0
16,0,1.0,1.0,18.11164275,6.0,1.0,3.0,1.0,0.0,0.0,0,3.261855307,1.0
18,0,0.0,4.0,2.395199329,23.0,0.0,3.0,0.0,1.0,0.0,0,1.039623879,4.0
15,1,0.0,1.0,10.63865955,28.0,0.0,0.0,0.0,1.0,0.0,0,0.027818625,4.0
18,1,3.0,2.0,5.690239195,21.0,1.0,3.0,0.0,0.0,1.0,0,1.329964538,4.0
16,1,2.0,1.0,0.941223958,1.0,0.0,4.0,0.0,0.0,1.0,0,3.283916522,1.0
16,0,1.0,2.0,13.3709339,6.0,0.0,2.0,1.0,0.0,0.0,0,2.937454182,2.0
16,1,1.0,1.0,17.25541555,28.0,0.0,3.0,0.0,0.0,1.0,1,0.738868203,4.0
15,0,1.0,1.0,3.25805309,8.0,0.0,2.0,1.0,1.0,0.0,0,2.556801663,2.0
16,0,0.0,3.0,16.24827315,4.0,1.0,2.0,0.0,0.0,0.0,0,3.300928569,1.0
15,1,0.0,3.0,17.06791467,14.0,0.0,3.0,1.0,0.0,1.0,0,2.200682947,3.0
16,0,0.0,3.0,18.28680885,17.0,0.0,3.0,0.0,1.0,0.0,0,1.855865573,4.0
18,0,0.0,2.0,5.305701782,3.0,0.0,3.0,0.0,0.0,0.0,0,2.734401494,2.0
18,1,1.0,3.0,18.0790613,18.0,1.0,1.0,1.0,1.0,0.0,0,2.131737297,3.0
17,1,0.0,0.0,6.413255095,19.0,0.0,1.0,0.0,0.0,0.0,0,0.979769911,4.0
18,1,3.0,1.0,11.04676027,25.0,0.0,3.0,0.0,1.0,0.0,0,0.994325024,4.0
17,0,3.0,1.0,1.010149417,6.0,0.0,1.0,0.0,1.0,0.0,0,2.074699977,3.0
18,1,2.0,2.0,0.877621767,25.0,0.0,2.0,0.0,0.0,0.0,0,0.500508036,4.0
15,1,1.0,1.0,14.40746425,7.0,0.0,0.0,1.0,1.0,0.0,0,2.532438418,2.0
18,0,2.0,1.0,8.88959956,16.0,0.0,1.0,0.0,1.0,0.0,0,1.463378036,4.0
17,1,0.0,2.0,5.125847507,12.0,0.0,3.0,1.0,1.0,0.0,0,2.342836773,3.0
17,1,2.0,3.0,3.80826992,23.0,0.0,3.0,0.0,0.0,0.0,0,1.158846334,4.0
16,1,0.0,1.0,13.39906982,20.0,1.0,1.0,1.0,0.0,1.0,1,1.523748745,4.0
15,0,2.0,1.0,0.008030881,27.0,0.0,1.0,0.0,0.0,1.0,0,0.0,4.0
18,0,0.0,1.0,16.11782338,22.0,0.0,0.0,1.0,0.0,1.0,0,1.058622014,4.0
16,0,2.0,1.0,1.584992123,10.0,0.0,2.0,0.0,0.0,1.0,1,2.229740184,3.0
18,0,3.0,1.0,3.829792298,26.0,0.0,1.0,0.0,0.0,0.0,1,0.194743281,4.0
18,1,0.0,2.0,7.724727906,0.0,0.0,2.0,1.0,1.0,0.0,0,3.506920071,0.0
16,0,0.0,2.0,9.697174794,1.0,1.0,3.0,0.0,0.0,0.0,0,3.552286943,0.0
16,0,3.0,2.0,7.099902316,16.0,1.0,3.0,0.0,1.0,0.0,0,2.238491354,3.0
16,1,0.0,1.0,6.4142433,4.0,0.0,1.0,1.0,1.0,0.0,0,2.708472344,2.0
16,1,1.0,1.0,12.83159362,29.0,0.0,4.0,0.0,0.0,1.0,0,0.965482445,4.0
18,0,0.0,2.0,0.468659107,5.0,0.0,2.0,0.0,1.0,0.0,0,2.55523286,2.0
16,0,0.0,3.0,8.603518169,25.0,0.0,2.0,1.0,0.0,1.0,1,0.7443223,4.0
15,0,0.0,1.0,17.50017399,24.0,0.0,2.0,0.0,0.0,0.0,0,0.722056581,4.0
17,1,2.0,1.0,6.029123728,23.0,1.0,1.0,1.0,1.0,0.0,1,1.27122953,4.0
16,1,0.0,3.0,1.891126895,6.0,0.0,3.0,1.0,0.0,1.0,1,2.526142141,2.0
16,0,1.0,1.0,15.16769543,27.0,0.0,3.0,1.0,1.0,0.0,0,0.942415395,4.0
18,1,0.0,2.0,12.12027664,20.0,1.0,2.0,0.0,1.0,0.0,0,1.515639098,4.0
16,1,1.0,0.0,11.40625016,29.0,0.0,3.0,1.0,0.0,0.0,0,0.648273927,4.0
16,1,2.0,2.0,1.071531192,14.0,0.0,3.0,0.0,1.0,1.0,1,2.048850082,3.0
16,0,3.0,1.0,2.809980196,18.0,0.0,0.0,1.0,0.0,0.0,1,0.842295999,4.0
18,1,0.0,0.0,12.45098792,15.0,0.0,1.0,0.0,1.0,0.0,0,1.464187924,4.0
16,1,2.0,2.0,4.156476829,24.0,1.0,3.0,1.0,1.0,0.0,0,1.487946865,4.0
17,0,2.0,1.0,10.08140159,12.0,1.0,4.0,0.0,0.0,0.0,0,2.587565796,2.0
18,0,1.0,1.0,10.89763372,4.0,1.0,3.0,0.0,0.0,0.0,0,3.220806978,1.0
17,1,3.0,0.0,5.670143805,2.0,1.0,4.0,0.0,0.0,1.0,0,3.545159432,0.0
18,1,0.0,1.0,18.96850311,2.0,0.0,2.0,0.0,0.0,0.0,0,3.089598953,1.0
16,0,0.0,1.0,16.84928214,18.0,1.0,1.0,0.0,1.0,1.0,0,1.91995644,4.0
17,0,2.0,0.0,14.44747015,13.0,1.0,2.0,0.0,0.0,0.0,0,2.198593185,3.0
18,1,0.0,3.0,1.559877328,15.0,0.0,0.0,0.0,0.0,0.0,1,0.878212617,4.0
